"idgames","critic_score","global_sales"
9090,13.0,0.04
7405,17.0,0.1
5209,19.0,0.22
6427,19.0,0.14
7003,19.0,0.11
8249,19.0,0.07
8630,19.0,0.06
9820,19.0,0.02
1031,20.0,1.7
7736,20.0,0.09
7871,20.0,0.08
6984,21.0,0.12
8202,22.0,0.07
5578,23.0,0.19
8165,23.0,0.07
9933,23.0,0.02
10213,23.0,0.01
6689,24.0,0.13
7261,24.0,0.1
8273,24.0,0.07
10000,24.0,0.02
622,25.0,2.48
5293,25.0,0.21
6039,25.0,0.16
6939,25.0,0.12
7043,25.0,0.11
7384,25.0,0.1
8593,25.0,0.06
4136,26.0,0.33
4278,26.0,0.31
4308,26.0,0.31
5312,26.0,0.21
6218,26.0,0.15
6579,26.0,0.13
7083,26.0,0.11
8797,26.0,0.05
9560,26.0,0.03
9674,26.0,0.02
9898,26.0,0.02
10147,26.0,0.01
3978,27.0,0.35
4320,27.0,0.3
5082,27.0,0.23
6570,27.0,0.13
8094,27.0,0.07
8433,27.0,0.06
8579,27.0,0.06
10226,27.0,0.01
3819,28.0,0.37
5366,28.0,0.21
6606,28.0,0.13
6867,28.0,0.12
7045,28.0,0.11
7115,28.0,0.11
7231,28.0,0.11
7415,28.0,0.1
7440,28.0,0.1
7726,28.0,0.09
7994,28.0,0.08
916,29.0,1.88
7937,29.0,0.08
8538,29.0,0.06
1384,30.0,1.27
4455,30.0,0.29
4834,30.0,0.25
6230,30.0,0.15
6511,30.0,0.14
7742,30.0,0.09
8545,30.0,0.06
8653,30.0,0.05
8879,30.0,0.05
9701,30.0,0.02
9908,30.0,0.02
9981,30.0,0.02
3931,31.0,0.36
5871,31.0,0.17
7797,31.0,0.08
8984,31.0,0.05
9152,31.0,0.04
9407,31.0,0.03
9633,31.0,0.03
9770,31.0,0.02
10065,31.0,0.02
1422,32.0,1.23
2541,32.0,0.63
2648,32.0,0.6
4272,32.0,0.31
4311,32.0,0.31
5381,32.0,0.21
6139,32.0,0.16
7401,32.0,0.1
7596,32.0,0.09
8167,32.0,0.07
8195,32.0,0.07
8342,32.0,0.06
8393,32.0,0.06
8955,32.0,0.05
9337,32.0,0.03
1199,33.0,1.47
2708,33.0,0.58
3751,33.0,0.38
5212,33.0,0.22
5387,33.0,0.21
5405,33.0,0.2
6127,33.0,0.16
6658,33.0,0.13
6830,33.0,0.12
6835,33.0,0.12
7373,33.0,0.1
7973,33.0,0.08
7977,33.0,0.08
8071,33.0,0.07
8117,33.0,0.07
8216,33.0,0.07
8510,33.0,0.06
8600,33.0,0.06
8777,33.0,0.05
9619,33.0,0.03
9870,33.0,0.02
10069,33.0,0.02
2118,34.0,0.79
3040,34.0,0.51
3226,34.0,0.47
5765,34.0,0.18
7318,34.0,0.1
7785,34.0,0.08
8187,34.0,0.07
8622,34.0,0.06
8964,34.0,0.05
9180,34.0,0.04
2655,35.0,0.6
3997,35.0,0.35
5060,35.0,0.23
5768,35.0,0.18
5958,35.0,0.17
6302,35.0,0.15
6402,35.0,0.14
6527,35.0,0.14
6533,35.0,0.14
7145,35.0,0.11
7177,35.0,0.11
7855,35.0,0.08
8026,35.0,0.08
8221,35.0,0.07
8411,35.0,0.06
8546,35.0,0.06
8650,35.0,0.05
8986,35.0,0.05
9008,35.0,0.04
9036,35.0,0.04
9163,35.0,0.04
9427,35.0,0.03
9497,35.0,0.03
9719,35.0,0.02
10088,35.0,0.02
10110,35.0,0.02
10275,35.0,0.01
3162,36.0,0.49
3684,36.0,0.39
4332,36.0,0.3
4865,36.0,0.25
5443,36.0,0.2
5444,36.0,0.2
5702,36.0,0.18
5966,36.0,0.17
6177,36.0,0.15
6459,36.0,0.14
6766,36.0,0.13
6900,36.0,0.12
6917,36.0,0.12
7417,36.0,0.1
7665,36.0,0.09
7667,36.0,0.09
7868,36.0,0.08
8068,36.0,0.07
8189,36.0,0.07
8203,36.0,0.07
8471,36.0,0.06
8497,36.0,0.06
8681,36.0,0.05
9353,36.0,0.03
9788,36.0,0.02
10041,36.0,0.02
1044,37.0,1.68
3217,37.0,0.47
5342,37.0,0.21
5468,37.0,0.2
6070,37.0,0.16
6103,37.0,0.16
6751,37.0,0.13
6821,37.0,0.12
7072,37.0,0.11
7236,37.0,0.11
7383,37.0,0.1
7647,37.0,0.09
8030,37.0,0.08
8143,37.0,0.07
8146,37.0,0.07
8370,37.0,0.06
8382,37.0,0.06
8627,37.0,0.06
8763,37.0,0.05
8799,37.0,0.05
8953,37.0,0.05
8958,37.0,0.05
9032,37.0,0.04
9088,37.0,0.04
9105,37.0,0.04
9258,37.0,0.04
10218,37.0,0.01
10252,37.0,0.01
1136,38.0,1.56
1161,38.0,1.52
2167,38.0,0.77
2715,38.0,0.58
3354,38.0,0.45
3699,38.0,0.39
3753,38.0,0.38
4607,38.0,0.27
4869,38.0,0.25
5348,38.0,0.21
5785,38.0,0.18
5820,38.0,0.18
5827,38.0,0.18
5856,38.0,0.18
6131,38.0,0.16
6168,38.0,0.15
6392,38.0,0.14
6443,38.0,0.14
6501,38.0,0.14
6717,38.0,0.13
7181,38.0,0.11
7528,38.0,0.09
7765,38.0,0.08
7966,38.0,0.08
8120,38.0,0.07
8429,38.0,0.06
8970,38.0,0.05
9066,38.0,0.04
9213,38.0,0.04
9380,38.0,0.03
9781,38.0,0.02
9888,38.0,0.02
9902,38.0,0.02
10043,38.0,0.02
1852,39.0,0.93
2191,39.0,0.76
2314,39.0,0.71
3489,39.0,0.42
3831,39.0,0.37
3961,39.0,0.35
4909,39.0,0.25
5134,39.0,0.23
5369,39.0,0.21
5720,39.0,0.18
5743,39.0,0.18
5763,39.0,0.18
5818,39.0,0.18
5866,39.0,0.17
6297,39.0,0.15
6328,39.0,0.15
6423,39.0,0.14
6602,39.0,0.13
6707,39.0,0.13
6724,39.0,0.13
6890,39.0,0.12
6918,39.0,0.12
7059,39.0,0.11
7103,39.0,0.11
7167,39.0,0.11
7323,39.0,0.1
7406,39.0,0.1
7429,39.0,0.1
7699,39.0,0.09
7930,39.0,0.08
8786,39.0,0.05
8948,39.0,0.05
8988,39.0,0.05
9222,39.0,0.04
9550,39.0,0.03
9725,39.0,0.02
9860,39.0,0.02
9959,39.0,0.02
10009,39.0,0.02
1612,40.0,1.08
2369,40.0,0.69
4500,40.0,0.28
4701,40.0,0.26
5278,40.0,0.21
5364,40.0,0.21
5398,40.0,0.2
5462,40.0,0.2
6005,40.0,0.17
6280,40.0,0.15
6406,40.0,0.14
7029,40.0,0.11
7175,40.0,0.11
7909,40.0,0.08
8078,40.0,0.07
8261,40.0,0.07
8416,40.0,0.06
8800,40.0,0.05
8852,40.0,0.05
9405,40.0,0.03
9708,40.0,0.02
9784,40.0,0.02
9890,40.0,0.02
9975,40.0,0.02
10076,40.0,0.02
10312,40.0,0.01
2874,41.0,0.55
2921,41.0,0.54
2985,41.0,0.52
3239,41.0,0.47
3305,41.0,0.46
3719,41.0,0.39
4147,41.0,0.32
4289,41.0,0.31
4609,41.0,0.27
4616,41.0,0.27
4648,41.0,0.27
4688,41.0,0.27
5138,41.0,0.23
6003,41.0,0.17
6589,41.0,0.13
6695,41.0,0.13
7098,41.0,0.11
7371,41.0,0.1
8111,41.0,0.07
8346,41.0,0.06
8703,41.0,0.05
8956,41.0,0.05
9112,41.0,0.04
9208,41.0,0.04
9344,41.0,0.03
9372,41.0,0.03
9568,41.0,0.03
9572,41.0,0.03
10232,41.0,0.01
669,42.0,2.37
1671,42.0,1.04
2397,42.0,0.68
2724,42.0,0.58
4662,42.0,0.27
4850,42.0,0.25
4948,42.0,0.24
4960,42.0,0.24
5018,42.0,0.24
5174,42.0,0.22
5508,42.0,0.2
5896,42.0,0.17
5977,42.0,0.17
5986,42.0,0.17
6041,42.0,0.16
6630,42.0,0.13
6659,42.0,0.13
6694,42.0,0.13
7436,42.0,0.1
7530,42.0,0.09
7721,42.0,0.09
7747,42.0,0.09
8164,42.0,0.07
8557,42.0,0.06
8580,42.0,0.06
8649,42.0,0.05
8665,42.0,0.05
9062,42.0,0.04
9098,42.0,0.04
9158,42.0,0.04
9200,42.0,0.04
9255,42.0,0.04
9874,42.0,0.02
10013,42.0,0.02
10024,42.0,0.02
10266,42.0,0.01
10274,42.0,0.01
1505,43.0,1.16
1515,43.0,1.15
2318,43.0,0.71
2358,43.0,0.7
2636,43.0,0.6
2654,43.0,0.6
2967,43.0,0.53
3157,43.0,0.49
3204,43.0,0.48
3434,43.0,0.43
3438,43.0,0.43
3620,43.0,0.4
3622,43.0,0.4
3720,43.0,0.39
4185,43.0,0.32
4434,43.0,0.29
4452,43.0,0.29
4884,43.0,0.25
4920,43.0,0.24
5017,43.0,0.24
5265,43.0,0.21
5340,43.0,0.21
5456,43.0,0.2
5590,43.0,0.19
6272,43.0,0.15
6335,43.0,0.15
6376,43.0,0.14
6836,43.0,0.12
6929,43.0,0.12
7069,43.0,0.11
7204,43.0,0.11
7390,43.0,0.1
7424,43.0,0.1
7504,43.0,0.09
7617,43.0,0.09
7653,43.0,0.09
7690,43.0,0.09
7775,43.0,0.08
7900,43.0,0.08
7935,43.0,0.08
8518,43.0,0.06
8654,43.0,0.05
8677,43.0,0.05
8718,43.0,0.05
8849,43.0,0.05
9034,43.0,0.04
9045,43.0,0.04
9060,43.0,0.04
9067,43.0,0.04
9464,43.0,0.03
9585,43.0,0.03
9881,43.0,0.02
9978,43.0,0.02
10229,43.0,0.01
801,44.0,2.08
1065,44.0,1.66
1657,44.0,1.05
1758,44.0,0.98
