,developer
0,Nintendo
1,
2,Good Science Studio
3,Rockstar North
4,Polyphony Digital
5,"Infinity Ward, Sledgehammer Games"
6,Treyarch
7,Infinity Ward
8,DMA Design
9,Game Arts
10,"Retro Studios, Entertainment Analysis & Development Division"
11,"Bungie Software, Bungie"
12,Ubisoft
13,Bungie
14,SquareSoft
15,343 Industries
16,Hudson Soft
17,Bethesda Game Studios
18,EA Sports
19,Bungie Software
20,Nd Cube
21,Hudson
22,Electronic Arts
23,The Sims Studio
24,Game Freak
25,Rockstar Leeds
26,Sledgehammer Games
27,"EA Sports, EA Vancouver"
28,Nintendo EAD Tokyo
29,EA DICE
30,EA Black Box
31,Ubisoft Paris
32,Namco
33,Naughty Dog
34,HAL Labs
35,EA Canada
36,EA LA
37,Epic Games
38,"Pipeworks Software, Inc."
39,Rockstar San Diego
40,Retro Studios
41,Blizzard Entertainment
42,Reflections Interactive
43,Rare Ltd.
44,KCEJ
45,Kojima Productions
46,Square Enix
47,"SCE/WWS, Media Molecule"
48,Capcom
49,Level 5
50,Traveller's Tales
51,Taito Corporation
52,Ubisoft Montreal
53,Turn 10
54,Rocksteady Studios
55,Intelligent Systems
56,Core Design Ltd.
57,EA Tiburon
58,Harmonix Music Systems
59,Lionhead Studios
60,Neversoft Entertainment
61,"Neversoft Entertainment, BudCat"
62,"Naughty Dog, SCE/WWS"
63,SCE Santa Monica
64,TT Fusion
65,Stormfront Studios
66,Bluepoint Games
67,Vicarious Visions
68,Next Level Games
69,Konami
70,Bethesda Softworks
71,"Ubisoft Paris, Ubisoft Montpellier"
72,High Moon Studios
73,Insomniac Games
74,Mass Media
75,Ready at Dawn
76,"SCEE, Zoe Mode"
77,Valve Software
78,Obsidian Entertainment
79,Cat Daddy Games
80,Digital Eclipse
81,CD Projekt Red Studio
82,"Ubisoft, Ubisoft Montreal"
83,Visual Concepts
84,Evolution Studios
85,KCET
86,"SCEA, Zindagi Games"
87,"Nintendo, Namco Bandai Games"
88,Massive Entertainment
89,Maxis
90,Argonaut Games
91,TOSE
92,Zipper Interactive
93,Pandemic Studios
94,Fox Interactive
95,Office Create
96,Team Soho
97,EA Redwood Shores
98,Certain Affinity
99,Agenda
100,Gearbox Software
101,"Kojima Productions, Moby Dick Studio"
102,Media Molecule
103,Eurocom Entertainment Software
104,Ubisoft Quebec
105,Double Helix Games
106,Rockstar Toronto
107,EA Games
108,"Splash Damage, The Coalition"
109,"Luxoflux, Inc."
110,Shiny Entertainment
111,Team Bondi
112,1st Playable Productions
113,"Dimps Corporation, Sonic Team"
114,Indies Zero
115,4J Studios
116,BioWare
117,Dimps Corporation
118,Quantic Dream
119,Volition Inc.
120,Guerrilla
121,Junction Point
122,"Spike, Namco Bandai Games"
123,"LucasArts, BioWare"
124,Monolith Productions
125,Sonic Team
126,Io Interactive
127,Respawn Entertainment
128,Sucker Punch
129,Sumo Digital
130,Clap Hanz
131,OfficeCreate
132,Spark Unlimited
133,NetherRealm Studios
134,"Irrational Games, 2K Marin"
135,"Majesco Games, Majesco"
136,"EA DICE, Danger Close"
137,Virtual Toys
138,NuFX
139,Criterion Games
140,Toys for Bob
141,"Warner Bros. Interactive Entertainment, NetherRealm Studios"
142,Edge of Reality
143,LucasArts
144,Artoon
145,Namco Bandai Games
146,Dreamworks Interactive
147,Big Blue Box
148,DC Studios
149,Ubisoft Shanghai
150,Slightly Mad Studios
151,Team Fusion
152,Angel Studios
153,Ensemble Studios
154,"Dice, Danger Close"
155,syn Sophia
156,Yuke's
157,Genius Sonority Inc.
158,Acclaim Studios Cheltenham
159,Headstrong Games
160,CAProduction
161,Raven Software
162,Midway
163,From Software
164,Black Rock Studio
165,Cyan Worlds
166,THQ
167,Rainbow Studios
168,Black Box
169,Bullfrog Productions
170,Konami Computer Entertainment Hawaii
171,Techland
172,Heavy Iron Studios
173,Frontier Developments
174,GREZZO
175,"Rare Ltd., BigPark"
176,ArenaNet
177,WB Games Montreal
178,"HAL Labs, Creatures Inc."
179,Backbone Entertainment
180,Sega
181,Exakt
182,TT Games
183,2K Marin
184,5TH Cell
185,Beenox
186,Amaze Entertainment
187,Bizarre Creations
188,Omega Force
189,Visceral Games
190,Blue Planet Software
191,Matrix Software
192,Full Fat
193,Helixe
194,EA Vancouver
195,Ubisoft Montpellier
196,ChunSoft
197,Midway Studios - San Diego
