,name,platform,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count,developer,rating
0,Wii Sports,0,2006,0,0,41.36,28.96,3.77,8.45,82.53,76.0,51.0,8.0,322.0,0,0
1,Super Mario Bros.,1,1985,1,0,29.08,3.58,6.81,0.77,40.24,,,,,1,1
2,Mario Kart Wii,0,2008,2,0,15.68,12.76,3.79,3.29,35.52,82.0,73.0,8.3,709.0,0,0
3,Wii Sports Resort,0,2009,0,0,15.61,10.93,3.28,2.95,32.77,80.0,73.0,8.0,192.0,0,0
4,Pokemon Red/Pokemon Blue,2,1996,3,0,11.27,8.89,10.22,1.0,31.37,,,,,1,1
5,Tetris,2,1989,4,0,23.2,2.26,4.22,0.58,30.26,,,,,1,1
6,New Super Mario Bros.,3,2006,1,0,11.28,9.14,6.5,2.88,29.8,89.0,65.0,8.5,431.0,0,0
7,Wii Play,0,2006,5,0,13.96,9.18,2.93,2.84,28.92,58.0,41.0,6.6,129.0,0,0
8,New Super Mario Bros. Wii,0,2009,1,0,14.44,6.94,4.7,2.24,28.32,87.0,80.0,8.4,594.0,0,0
9,Duck Hunt,1,1984,6,0,26.93,0.63,0.28,0.47,28.31,,,,,1,1
10,Nintendogs,3,2005,7,0,9.05,10.95,1.93,2.74,24.67,,,,,1,1
11,Mario Kart DS,3,2005,2,0,9.71,7.47,4.13,1.9,23.21,91.0,64.0,8.6,464.0,0,0
12,Pokemon Gold/Pokemon Silver,2,1999,3,0,9.0,6.18,7.2,0.71,23.1,,,,,1,1
13,Wii Fit,0,2007,0,0,8.92,8.03,3.6,2.15,22.7,80.0,63.0,7.7,146.0,0,0
14,Kinect Adventures!,4,2010,5,1,15.0,4.89,0.24,1.69,21.81,61.0,45.0,6.3,106.0,2,0
15,Wii Fit Plus,0,2009,0,0,9.01,8.49,2.53,1.77,21.79,80.0,33.0,7.4,52.0,0,0
16,Grand Theft Auto V,5,2013,8,2,7.02,9.09,0.98,3.96,21.04,97.0,50.0,8.2,3994.0,3,2
17,Grand Theft Auto: San Andreas,6,2004,8,2,9.43,0.4,0.41,10.57,20.81,95.0,80.0,9.0,1588.0,3,2
18,Super Mario World,7,1990,1,0,12.78,3.75,3.54,0.55,20.61,,,,,1,1
19,Brain Age: Train Your Brain in Minutes a Day,3,2005,5,0,4.74,9.2,4.16,2.04,20.15,77.0,58.0,7.9,50.0,0,0
20,Pokemon Diamond/Pokemon Pearl,3,2006,3,0,6.38,4.46,6.04,1.36,18.25,,,,,1,1
21,Super Mario Land,2,1989,1,0,10.83,2.71,4.18,0.42,18.14,,,,,1,1
22,Super Mario Bros. 3,1,1988,1,0,9.54,3.44,3.84,0.46,17.28,,,,,1,1
23,Grand Theft Auto V,4,2013,8,2,9.66,5.14,0.06,1.41,16.27,97.0,58.0,8.1,3711.0,3,2
24,Grand Theft Auto: Vice City,6,2002,8,2,8.41,5.49,0.47,1.78,16.15,95.0,62.0,8.7,730.0,3,2
