,publisher
0,Nintendo
1,Microsoft Game Studios
2,Take-Two Interactive
3,Sony Computer Entertainment
4,Activision
5,Ubisoft
6,Bethesda Softworks
7,Electronic Arts
8,Sega
9,SquareSoft
10,Atari
11,505 Games
12,Capcom
13,GT Interactive
14,Konami Digital Entertainment
15,Square Enix
16,Sony Computer Entertainment Europe
17,Virgin Interactive
18,LucasArts
19,Warner Bros. Interactive Entertainment
20,Universal Interactive
21,Eidos Interactive
22,RedOctane
23,Vivendi Games
24,Enix Corporation
25,Namco Bandai Games
26,Palcom
27,Hasbro Interactive
28,THQ
29,Fox Interactive
30,Acclaim Entertainment
31,MTV Games
32,Disney Interactive Studios
33,
34,Codemasters
35,Majesco Entertainment
36,Red Orb
37,Level 5
38,Arena Entertainment
39,Midway Games
40,JVC
41,Deep Silver
42,NCSoft
43,989 Studios
44,UEP Systems
45,Parker Bros.
46,Maxis
47,Imagic
48,Tecmo Koei
49,ASCII Entertainment
50,Valve Software
51,Mindscape
52,Infogrames
53,Unknown
54,Square
55,Valve
56,Hello Games
57,Activision Value
58,Global Star
59,Gotham Games
60,Crave Entertainment
61,Rising Star Games
62,TDK Mediactive
63,Zoo Games
64,Sony Online Entertainment
65,RTL
66,D3Publisher
67,Black Label Games
68,SouthPeak Games
69,Zoo Digital Publishing
70,City Interactive
71,Empire Interactive
72,Russel
73,Atlus
74,Mastertronic
75,Slightly Mad Studios
76,Agetec
77,Play It
78,GSP
79,Tomy Corporation
80,Focus Home Interactive
81,Koch Media
82,Game Factory
83,Titus
84,Marvelous Entertainment
85,Genki
86,TalonSoft
87,Square Enix 
88,SCi
89,Rage Software
90,Ubisoft Annecy
91,Scholastic Inc.
92,Square EA
93,Hudson Soft
94,Nobilis
95,Big Ben Interactive
96,Touchstone
97,Spike
98,Nippon Ichi Software
99,Sony Computer Entertainment America
100,Jester Interactive
101,Illusion Softworks
102,Interplay
103,Metro 3D
104,Funbox Media
105,Rondomedia
106,Ghostlight
107,PQube
108,Trion Worlds
109,Xseed Games
110,Ignition Entertainment
111,Kadokawa Shoten
112,Natsume
113,3DO
114,Destineer
115,Gamebridge
116,Midas Interactive Entertainment
117,XS Games
118,Rebellion
119,Harmonix Music Systems
120,Activision Blizzard
121,Xplosiv
122,System 3 Arcade Software
123,Wanadoo
124,NovaLogic
125,BAM! Entertainment
126,GameMill Entertainment
127,Tetris Online
128,Mastiff
129,Psygnosis
130,Telegames
131,Mud Duck Productions
132,Screenlife
133,Knowledge Adventure
134,GungHo
135,Avanquest
136,Black Bean Games
137,Takara Tomy
138,Zushi Games
139,Sammy Corporation
140,Brash Entertainment
141,Kalypso Media
142,Oxygen Interactive
143,PopCap Games
144,Gathering of Developers
145,Marvelous Interactive
146,Home Entertainment Suppliers
147,Magix
148,Arc System Works
149,Banpresto
150,Wargaming.net
151,Storm City Games
152,Nordic Games
153,Mumbo Jumbo
154,Pacific Century Cyber Works
155,Indie Games
156,NewKidCo
157,Liquid Games
158,Little Orbit
159,FuRyu
160,Nihon Falcom Corporation
161,ValuSoft
162,DTP Entertainment
163,Falcom Corporation
164,Kemco
165,Milestone S.r.l.
166,AQ Interactive
167,Telltale Games
168,CCP
169,Rebellion Developments
170,Agatsuma Entertainment
