"idgames","user_score","global_sales"
6970,0.2,0.12
9089,0.2,0.04
4284,0.3,0.31
8933,0.3,0.05
6459,0.5,0.14
7167,0.5,0.11
7300,0.6,0.1
9764,0.6,0.02
5903,0.7,0.17
8955,0.7,0.05
7440,0.9,0.1
8399,0.9,0.06
7530,1.0,0.09
9090,1.0,0.04
3949,1.1,0.35
8751,1.1,0.05
5958,1.2,0.17
7504,1.2,0.09
9630,1.2,0.03
6791,1.3,0.12
8630,1.3,0.06
7428,1.4,0.1
7715,1.4,0.09
8137,1.4,0.07
9849,1.4,0.02
10285,1.4,0.01
5381,1.5,0.21
8353,1.5,0.06
2367,1.6,0.69
3889,1.6,0.36
9218,1.6,0.04
3529,1.7,0.42
3779,1.7,0.38
4289,1.7,0.31
5851,1.7,0.18
7405,1.7,0.1
7871,1.7,0.08
8050,1.7,0.08
8964,1.7,0.05
9066,1.7,0.04
2055,1.8,0.82
3582,1.8,0.41
6707,1.8,0.13
7401,1.8,0.1
8202,1.8,0.07
10011,1.8,0.02
1031,1.9,1.7
8593,1.9,0.06
1384,2.0,1.27
5262,2.0,0.21
6402,2.0,0.14
6757,2.0,0.13
6836,2.0,0.12
7059,2.0,0.11
7805,2.0,0.08
8986,2.0,0.05
9641,2.0,0.03
9980,2.0,0.02
10018,2.0,0.02
1595,2.1,1.09
1778,2.1,0.97
2673,2.1,0.59
4026,2.1,0.34
4294,2.1,0.31
5519,2.1,0.2
6890,2.1,0.12
6900,2.1,0.12
10318,2.1,0.01
1237,2.2,1.42
6579,2.2,0.13
9180,2.2,0.04
9200,2.2,0.04
9502,2.2,0.03
9725,2.2,0.02
6374,2.3,0.14
10274,2.3,0.01
3308,2.4,0.45
4311,2.4,0.31
5366,2.4,0.21
5541,2.4,0.19
6717,2.4,0.13
8068,2.4,0.07
8165,2.4,0.07
8346,2.4,0.06
9881,2.4,0.02
9898,2.4,0.02
10338,2.4,0.01
1024,2.5,1.72
1249,2.5,1.41
6039,2.5,0.16
6260,2.5,0.15
6297,2.5,0.15
6647,2.5,0.13
6688,2.5,0.13
7726,2.5,0.09
8342,2.5,0.06
8520,2.5,0.06
9317,2.5,0.03
9619,2.5,0.03
60,2.6,10.25
69,2.6,9.36
1557,2.6,1.12
5564,2.6,0.19
1213,2.7,1.45
3869,2.7,0.37
3931,2.7,0.36
5017,2.7,0.24
8216,2.7,0.07
8249,2.7,0.07
8969,2.7,0.05
10147,2.7,0.01
1812,2.8,0.95
3312,2.8,0.45
3414,2.8,0.44
3577,2.8,0.41
3699,2.8,0.39
4716,2.8,0.26
5414,2.8,0.2
5722,2.8,0.18
6071,2.8,0.16
6213,2.8,0.15
6535,2.8,0.14
6570,2.8,0.13
7073,2.8,0.11
7231,2.8,0.11
7665,2.8,0.09
8126,2.8,0.07
8197,2.8,0.07
8797,2.8,0.05
9161,2.8,0.04
9181,2.8,0.04
9820,2.8,0.02
9870,2.8,0.02
10000,2.8,0.02
10204,2.8,0.01
675,2.9,2.35
1128,2.9,1.57
2437,2.9,0.66
5348,2.9,0.21
5980,2.9,0.17
6131,2.9,0.16
6406,2.9,0.14
7429,2.9,0.1
8576,2.9,0.06
1088,3.0,1.63
2172,3.0,0.77
2614,3.0,0.61
2865,3.0,0.55
4059,3.0,0.34
4257,3.0,0.31
4855,3.0,0.25
5578,3.0,0.19
5662,3.0,0.19
5827,3.0,0.18
6045,3.0,0.16
6360,3.0,0.14
6367,3.0,0.14
6511,3.0,0.14
6539,3.0,0.14
6751,3.0,0.13
7895,3.0,0.08
8626,3.0,0.06
8948,3.0,0.05
9005,3.0,0.04
10171,3.0,0.01
640,3.1,2.42
1094,3.1,1.62
2137,3.1,0.78
2146,3.1,0.78
2671,3.1,0.59
3493,3.1,0.42
3683,3.1,0.39
5174,3.1,0.22
5443,3.1,0.2
5660,3.1,0.19
6113,3.1,0.16
6427,3.1,0.14
6653,3.1,0.13
7098,3.1,0.11
7381,3.1,0.1
7736,3.1,0.09
7897,3.1,0.08
8509,3.1,0.06
9188,3.1,0.04
10009,3.1,0.02
10170,3.1,0.01
10211,3.1,0.01
10226,3.1,0.01
37,3.2,13.32
552,3.2,2.71
1818,3.2,0.94
3578,3.2,0.41
3969,3.2,0.35
5569,3.2,0.19
5818,3.2,0.18
6606,3.2,0.13
7765,3.2,0.08
7937,3.2,0.08
8187,3.2,0.07
9626,3.2,0.03
9957,3.2,0.02
840,3.3,2.03
1705,3.3,1.02
1860,3.3,0.92
2189,3.3,0.76
2248,3.3,0.73
2358,3.3,0.7
2375,3.3,0.69
4281,3.3,0.31
4868,3.3,0.25
5720,3.3,0.18
7088,3.3,0.11
7973,3.3,0.08
8538,3.3,0.06
9424,3.3,0.03
9933,3.3,0.02
29,3.4,14.73
245,3.4,4.46
1515,3.4,1.15
1895,3.4,0.9
2837,3.4,0.56
4004,3.4,0.34
4557,3.4,0.28
5060,3.4,0.23
5118,3.4,0.23
5634,3.4,0.19
6168,3.4,0.15
6897,3.4,0.12
6909,3.4,0.12
7003,3.4,0.11
7077,3.4,0.11
7277,3.4,0.1
7321,3.4,0.1
7649,3.4,0.09
8097,3.4,0.07
